[2021-01-17 13:11:55,229] - camera.py [Line:154] - [INFO]-[thread:123145360433152]-[process:5305] - 当前进程：5305.遇到了人
[2021-01-17 13:11:57,281] - camera.py [Line:154] - [INFO]-[thread:123145360433152]-[process:5305] - 当前进程：5305.遇到了人
[2021-01-17 13:11:57,568] - camera.py [Line:154] - [INFO]-[thread:123145360433152]-[process:5305] - 当前进程：5305.遇到了人
[2021-01-17 13:11:57,857] - camera.py [Line:154] - [INFO]-[thread:123145360433152]-[process:5305] - 当前进程：5305.遇到了人
[2021-01-17 13:11:58,140] - camera.py [Line:154] - [INFO]-[thread:123145360433152]-[process:5305] - 当前进程：5305.遇到了人
[2021-01-17 13:11:58,423] - camera.py [Line:154] - [INFO]-[thread:123145360433152]-[process:5305] - 当前进程：5305.遇到了人
[2021-01-17 13:11:58,705] - camera.py [Line:154] - [INFO]-[thread:123145360433152]-[process:5305] - 当前进程：5305.遇到了人
[2021-01-17 13:11:58,986] - camera.py [Line:154] - [INFO]-[thread:123145360433152]-[process:5305] - 当前进程：5305.遇到了人
[2021-01-17 13:11:59,266] - camera.py [Line:154] - [INFO]-[thread:123145360433152]-[process:5305] - 当前进程：5305.遇到了人
[2021-01-17 13:11:59,543] - camera.py [Line:154] - [INFO]-[thread:123145360433152]-[process:5305] - 当前进程：5305.遇到了人
[2021-01-17 13:11:59,853] - camera.py [Line:154] - [INFO]-[thread:123145360433152]-[process:5305] - 当前进程：5305.遇到了人
[2021-01-17 13:12:00,163] - camera.py [Line:154] - [INFO]-[thread:123145360433152]-[process:5305] - 当前进程：5305.遇到了人
[2021-01-17 15:10:50,694] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:10:51,023] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:10:51,322] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:10:51,626] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:10:51,920] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:10:52,281] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:10:52,658] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:10:52,986] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:10:53,374] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:10:53,828] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:10:54,259] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:10:54,598] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:10:54,896] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:10:55,175] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:10:55,541] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:10:55,869] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:10:56,169] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:10:56,508] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:10:56,788] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:10:57,076] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:10:57,397] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:10:57,677] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:10:57,962] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:10:58,240] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:10:58,540] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:10:58,825] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:10:59,126] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:10:59,413] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:10:59,711] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:10:59,994] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:11:00,310] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:11:00,631] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:11:00,916] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:11:01,296] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:11:01,626] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:11:02,063] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:11:02,396] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:11:02,748] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:11:03,138] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:11:03,451] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:11:03,757] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:11:04,050] - camera.py [Line:155] - [INFO]-[thread:123145315352576]-[process:5466] - 当前进程：5466.遇到了人
[2021-01-17 15:15:46,779] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:47,096] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:47,458] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:47,766] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:48,114] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:48,440] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:48,752] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:49,067] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:49,377] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:49,695] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:50,011] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:50,305] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:50,586] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:50,863] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:51,151] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:51,430] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:51,719] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:52,000] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:52,280] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:52,607] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:52,904] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:53,205] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:53,546] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:53,862] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:54,180] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:54,515] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:55,166] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:55,523] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:56,011] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:56,459] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:56,914] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:57,279] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:57,665] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:58,318] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:58,794] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:59,095] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:59,400] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:15:59,711] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:16:00,049] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:16:00,412] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:16:00,856] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:16:01,168] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:16:01,465] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:16:01,750] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:16:02,142] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:16:02,461] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:16:02,820] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:16:03,235] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:16:03,582] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:16:03,991] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:16:04,312] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:16:04,627] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:16:04,928] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:16:05,245] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:16:05,585] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:16:05,901] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:16:06,205] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:16:06,511] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:16:06,803] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:16:07,114] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:16:07,435] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:16:07,762] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:16:08,221] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:16:08,625] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:16:09,002] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
[2021-01-17 15:16:09,336] - camera.py [Line:155] - [INFO]-[thread:123145384611840]-[process:5512] - 当前进程：5512.遇到了人
